region,suffix,allocation,demand,cost,generation,windshare,solarshare,capacity,windcapacity,solarcapacity,windpotential
Macedonia,CapDen1.0,Opt,9.468858004286204,41.886085016564,13.43736763943427,0.16708680514911917,0.5076475336022934,5.60259446578446,0.8936924724078007,3.8863156113868023,1.3797406840599677
Moldova,CapDen1.0,Opt,7.758371521769677,50.955067347117776,11.254553602029635,0.3994125528198054,0.42117123195850603,5.3593778551091775,1.5955215577506006,3.046588294607724,29.219629077507793
Mozambique,CapDen1.0,Opt,46.041405596733185,30.146367603314314,55.154217910831015,0.44758398496488017,0.3180518561242127,20.781012259067886,7.609868795802057,9.84637306311229,49.96684614726416
Netherlands,CapDen1.0,Opt,150.49111897697736,50.54062933265636,216.98507092033117,0.45756640076763067,0.39340628792630583,101.12327950110492,27.96916742854593,59.35645216980775,29.782743545919338
Niger,CapDen1.0,Opt,4.392994706763762,36.26973875968254,6.307769140046017,0.23204567153218442,0.5478256315670311,2.0147762074056006,0.3526282799961993,1.4157768577840075,587.3509887204468
Oman,CapDen1.0,Opt,113.5330454109853,35.4168150941754,140.57345797452174,0.5110194697488065,0.3487947501554067,48.030102379567964,20.046827573442204,20.22623372466518,245.41943294614018
Poland,CapDen1.0,Opt,207.48429757047063,52.27578227970709,308.6780070809747,0.5048109700918051,0.3667260772604146,146.27413170265163,50.49132457347399,80.10561087351498,276.65258006710746
Spain,CapDen1.0,Opt,355.5936898790695,34.43538807295805,464.1629240525942,0.31810608046543676,0.4203820902106247,165.01967767532395,43.52959758905201,96.3639369395325,159.0623800426573
Turkey,CapDen1.0,Opt,354.55291761551945,30.99225770550163,416.8166532409827,0.390904824091938,0.30373473772773146,145.88293321788152,49.17634364762446,61.72858433820727,151.90123317955417
United Arab Emirates,CapDen1.0,Opt,433.7490941826515,43.2111566558366,554.8952843143857,0.06547956189302516,0.4953130380104462,169.6456372957142,13.315046844315168,113.45794224287155,36.78046262544172
